,name,Marka,GENEL BİLGİLER - Ürün Amacı,GPU Modeli,CPU Modeli,RAM Boyutu,Dokunmatik Ekran,Ekran Boyutu,Çözünürlük X,Çözünürlük Y,Yenileme Hz,price,G3D_L1,G3D_L2,G3D_L3,G3D_L4,GPU_PassMark_G3D,CPU_PassMark
813,Lenovo LOQ 15IAX9 83GS0081TR,Lenovo,Oyun,NVIDIA GeForce RTX 4050 105W,Intel Core i5-12450HX,8.0,False,15.6,1920,1080,144.0,34080.0,,,14411.0,,14411.0,18228.0
814,Asus TUF Gaming A15 (2023) FA507NV-LP105 ZI717,Asus,Oyun,NVIDIA GeForce RTX 4060 140W,AMD Ryzen 5 7535HS,32.0,False,15.6,1920,1080,144.0,56495.71,,,17452.0,,17452.0,17910.0
815,Asus TUF Gaming A15 (2023) FA507NV-LP105Zi729,Asus,Oyun,NVIDIA GeForce RTX 4060 140W,AMD Ryzen 5 7535HS,32.0,False,15.6,1920,1080,144.0,56495.71,,,17452.0,,17452.0,17910.0
816,Asus TUF Gaming A15 (2023) FA507NV-LP103 Zi717,Asus,Oyun,NVIDIA GeForce RTX 4060 140W,AMD Ryzen 5 7535HS,32.0,False,15.6,1920,1080,144.0,56495.71,,,17452.0,,17452.0,17910.0
817,Lenovo Thinkpad E16 G2 21MA003MTX Zi732,Lenovo,İş/Mobil,Intel Graphics,Intel Core Ultra 5 125U,48.0,False,16.0,1920,1200,60.0,45816.98,,2161.5,,,2161.5,17366.0
818,Lenovo Thinkpad E16 G2 21MA003MTX Zi720,Lenovo,İş/Mobil,Intel Graphics,Intel Core Ultra 5 125U,48.0,False,16.0,1920,1200,60.0,45816.98,,2161.5,,,2161.5,17366.0
819,Asus Vivobook Pro 14 OLED M3401QC-KM076W,Vivobook,Genel Kullanım,NVIDIA GeForce RTX 3050 50W,AMD Ryzen 9 5900HX,16.0,False,14.0,2880,1800,90.0,57078.0,,,10171.0,,10171.0,22297.0
820,HP Victus Gaming 16-s1026nt (9Z796EA06),HP,Oyun,NVIDIA GeForce RTX 4050,AMD Ryzen 7 8845HS,32.0,False,16.1,1920,1080,144.0,65520.72,,,14411.0,,14411.0,28471.0
821,MSI Katana 17 B13VGK-1287XTR,MSI,Oyun,NVIDIA GeForce RTX 4070 105W,Intel Core i7-13620H,16.0,False,17.3,1920,1080,144.0,65697.27,,,19576.0,,19576.0,24148.0
822,MSI Katana 17 B13VGK-1030XTR,MSI,Oyun,NVIDIA GeForce RTX 4070 105W,Intel Core i7-13620H,16.0,False,17.3,1920,1080,144.0,60499.0,,,19576.0,,19576.0,24148.0
823,Lenovo ThinkPad X1 Carbon 11 21HNS226TTX004,Lenovo,İş/Mobil,Intel Iris Xe Graphics Eligible,Intel Core i7-1355U,32.0,False,14.0,1920,1200,60.0,109090.0,,,,1971.0,1971.0,14252.0
824,HP Victus Gaming 16-s0025nt (7Z591EA),HP,Oyun,NVIDIA GeForce RTX 4050,AMD Ryzen 5 7640HS,16.0,False,16.1,1920,1080,144.0,48959.04,,,14411.0,,14411.0,22926.0
825,HP Victus Gaming 16-s0018nt (7Z4M8EA)(64GB/512SSD/DOS),HP,Oyun,NVIDIA GeForce RTX 4060,AMD Ryzen 5 7640HS,64.0,False,16.1,1920,1080,144.0,50571.92,,19544.0,,,19544.0,22926.0
826,Asus TUF Gaming A15 (2023) FA507NVRA11-LP004A11,Asus,Oyun,NVIDIA GeForce RTX 4060 140W,AMD Ryzen 7 7435HS,32.0,False,15.6,1920,1080,144.0,64999.0,,,17452.0,,17452.0,23336.0
827,Erazer Defender P50I MD62643,Erazer,Oyun,NVIDIA GeForce RTX 4060,Intel Core i7-12650H,16.0,False,17.3,1920,1080,144.0,45599.04,,19544.0,,,19544.0,21884.0
828,Lenovo ThinkBook 14 G6 IRL 21KG004NTR ZI708,Lenovo,İş/Mobil,Intel Iris Xe Graphics,Intel Core i7-13700H,48.0,False,14.0,1920,1200,60.0,44801.28,,2641.0,,,2641.0,26358.0
829,Dell G15 Gaming 5530 G155530013WH06,Dell,Oyun,NVIDIA GeForce RTX 4060,Intel Core i7-13650HX,32.0,False,15.6,1920,1080,60.0,69999.0,,19544.0,,,19544.0,30673.0
830,Dell G15 Gaming 5530 G155530013UP129,Dell,Oyun,NVIDIA GeForce RTX 4060,Intel Core i7-13650HX,32.0,False,15.6,1920,1080,60.0,71464.5,,19544.0,,,19544.0,30673.0
831,Dell G15 Gaming 5530 G155530012U Zi725,Dell,Oyun,NVIDIA GeForce RTX 4060,Intel Core i7-13650HX,32.0,False,15.6,1920,1080,60.0,68939.81,,19544.0,,,19544.0,30673.0
832,Erazer Scout 17 E1 MD600006-R32,Erazer,Oyun,NVIDIA GeForce RTX 5050 115W,Intel Core 5 210H,32.0,False,17.3,1920,1080,144.0,55295.04,,,16707.0,,16707.0,18879.0
833,MSI Katana 15 B13VGK-1469XTR,MSI,Oyun,NVIDIA GeForce RTX 4070 105W,Intel Core i9-13900H,16.0,False,15.6,1920,1080,144.0,83711.04,,,19576.0,,19576.0,27602.0
834,Casper Excalibur G870.1362-DXB0X-B,Casper,Oyun,NVIDIA GeForce RTX 4060,Intel Core i7-13620H,32.0,False,15.6,1920,1080,144.0,47499.0,,19544.0,,,19544.0,24148.0
835,Apple MacBook Pro 16 İnç (MK1A3TU/A),Apple,İş/Mobil,Apple M1 Max (32 Çekirdek GPU),Apple M1 Max (10CPU/32GPU),32.0,False,16.2,3456,2234,120.0,79487.04,,,,,,15677.5
836,MSI Cyborg 15 A13VF-892XTRK01,MSI,Oyun,NVIDIA GeForce RTX 4060 45W,Intel Core i7-13620H,32.0,False,15.6,1920,1080,144.0,52999.0,,,17452.0,,17452.0,24148.0
837,MSI Cyborg 15 A13VF-892XTRA14,MSI,Oyun,NVIDIA GeForce RTX 4060 45W,Intel Core i7-13620H,32.0,False,15.6,1920,1080,144.0,53999.0,,,17452.0,,17452.0,24148.0
838,MSI Summit E16 AI Evo A1MTG-029TR,MSI,İş/Mobil,Intel Arc Graphics,Intel Core Ultra 7 155H,16.0,False,16.0,2560,1600,165.0,37239.02,,5506.0,,,5506.0,24826.0
839,HP Victus Gaming 16-s0018nt (7Z4M8EA)(40GB/512SSD/W11P),HP,Oyun,NVIDIA GeForce RTX 4060,AMD Ryzen 5 7640HS,40.0,False,16.1,1920,1080,144.0,49889.6,,19544.0,,,19544.0,22926.0
840,HP Victus Gaming 16-s0018nt (7Z4M8EA)(40GB/512SSD/W11H),HP,Oyun,NVIDIA GeForce RTX 4060,AMD Ryzen 5 7640HS,40.0,False,16.1,1920,1080,144.0,52466.84,,19544.0,,,19544.0,22926.0
841,Asus TUF Gaming A15 (2023) FA507NUR-LP034-ZI709,Asus,Oyun,NVIDIA GeForce RTX 4050 140W,AMD Ryzen 7 7435HS,64.0,False,15.6,1920,1080,144.0,50965.0,,,14411.0,,14411.0,23336.0
842,Lenovo ThinkPad E14 G6 21M8S0LRTX Zi708,Lenovo,İş/Mobil,Intel Graphics,Intel Core Ultra 7 155U,48.0,False,14.0,1920,1200,60.0,51889.92,,2161.5,,,2161.5,16331.0
843,Casper Excalibur G870.1270-DVA0A-B,Casper,Oyun,NVIDIA GeForce RTX 4050,Intel Core i7-12700H,32.0,False,15.6,1920,1080,144.0,72000.0,,,14411.0,,14411.0,25565.0
844,MSI Cyborg 15 A13VF-892XTRA58,MSI,Oyun,NVIDIA GeForce RTX 4060 45W,Intel Core i7-13620H,8.0,False,15.6,1920,1080,144.0,62051.0,,,17452.0,,17452.0,24148.0
845,Asus TUF Gaming F15 FX507VV-LP241,Asus,Oyun,NVIDIA GeForce RTX 4060 140W,Intel Core i7-13620H,16.0,False,15.6,1920,1080,144.0,61439.04,,,17452.0,,17452.0,24148.0
846,MSI Thin 15 B12VE-1892XTRP376,MSI,Oyun,NVIDIA GeForce RTX 4050 45W,Intel Core i7-12650H,32.0,False,15.6,1920,1080,144.0,50471.39,,,14411.0,,14411.0,21884.0
847,Asus TUF Gaming F16 FX608JHR-RV048 (16GB/512SSD/DOS),ASUS,Oyun,NVIDIA GeForce RTX 5050 115W,Intel Core i7-14650HX,16.0,False,16.0,1920,1200,165.0,62999.0,,,16707.0,,16707.0,34843.0
848,Lenovo Thinkpad E16 G2 21MA002UTX ZI717,Lenovo,İş/Mobil,Intel Arc Graphics,Intel Core Ultra 7 155H,32.0,False,16.0,1920,1200,60.0,52727.04,,5506.0,,,5506.0,24826.0
849,Lenovo Thinkpad E16 G2 21MA002UTX ZI729,Lenovo,İş/Mobil,Intel Arc Graphics,Intel Core Ultra 7 155H,32.0,False,16.0,1920,1200,60.0,52727.04,,5506.0,,,5506.0,24826.0
850,Lenovo ThinkPad E14 G6 21M7002PTX Zi734,Lenovo,İş/Mobil,Intel Graphics,Intel Core Ultra 5 125U,64.0,False,14.0,1920,1200,60.0,45617.28,,2161.5,,,2161.5,17366.0
851,Lenovo ThinkPad E14 G6 21M7002PTX Zi722,Lenovo,İş/Mobil,Intel Graphics,Intel Core Ultra 5 125U,64.0,False,14.0,1920,1200,60.0,45240.0,,2161.5,,,2161.5,17366.0
852,Monster Tulpar T7 V20.8.2,Monster,Oyun,NVIDIA GeForce RTX 4060 140W,Intel Core i7-12700H,32.0,False,17.3,1920,1080,144.0,79500.0,,,17452.0,,17452.0,25565.0
853,Casper Excalibur G870.1270-DXB0X-B,Casper,Oyun,NVIDIA GeForce RTX 4060,Intel Core i7-12700H,32.0,False,15.6,1920,1080,144.0,45216.0,,19544.0,,,19544.0,25565.0
854,Lenovo LOQ 15IRX9 83DV00G5TRP9,Lenovo,Oyun,NVIDIA GeForce RTX 3050 95W,Intel Core i7-13650HX,32.0,False,15.6,1920,1080,144.0,48385.19,,,10171.0,,10171.0,30673.0
855,MSI Cyborg 15 A13VF-892XTRA10,MSI,Oyun,NVIDIA GeForce RTX 4060 45W,Intel Core i7-13620H,24.0,False,15.6,1920,1080,144.0,54799.0,,,17452.0,,17452.0,24148.0
856,Acer Nitro 16 AN16-42,Acer,Oyun,NVIDIA GeForce RTX 4060 140W,AMD Ryzen 7 8845HS,32.0,False,16.0,2560,1600,165.0,61971.35,,,17452.0,,17452.0,28471.0
857,Acer Nitro V 16 ANV16-41-R7AZ,Acer,Oyun,NVIDIA GeForce RTX 4060 85W,AMD Ryzen 7 8845HS,32.0,False,16.0,1920,1200,165.0,45599.0,,,17452.0,,17452.0,28471.0
858,Asus ROG Strix G16 G614JV-N3452,Asus,Oyun,NVIDIA GeForce RTX 4060 140W,Intel Core i7-13650HX,32.0,False,16.0,1920,1200,165.0,69962.55,,,17452.0,,17452.0,30673.0
859,HP Victus Gaming 16-s0018nt (7Z4M8EA)(32GB/1TBSSD/W11P),HP,Oyun,NVIDIA GeForce RTX 4060,AMD Ryzen 5 7640HS,32.0,False,16.1,1920,1080,144.0,49781.02,,19544.0,,,19544.0,22926.0
860,HP Elite X360 1040 G11 (B66T5ES),HP,İş/Mobil,Intel Arc Graphics,Intel Core Ultra 7 155H,32.0,True,14.0,1920,1200,60.0,66250.9,,5506.0,,,5506.0,24826.0
861,MSI Thin 15 B12VE-1892XTRP354,MSI,Oyun,NVIDIA GeForce RTX 4050 45W,Intel Core i7-12650H,8.0,False,15.6,1920,1080,144.0,54309.94,,,14411.0,,14411.0,21884.0
862,Casper Excalibur G880.1362-EF70X-C,Casper,Oyun,NVIDIA GeForce RTX 5070,Intel Core i7-13620H,64.0,False,15.6,1920,1080,60.0,91838.63,,29031.0,,,29031.0,24148.0
863,Lenovo LOQ 15ARP9 83JC000UTR-16512,Lenovo,Oyun,NVIDIA GeForce RTX 4060 105W,AMD Ryzen 7 7435HS,16.0,False,15.6,1920,1080,144.0,47999.0,,,17452.0,,17452.0,23336.0
864,Asus TUF Gaming A15 (2023) FA507NUR-LP034 Zi716,Asus,Oyun,NVIDIA GeForce RTX 4050 140W,AMD Ryzen 7 7435HS,32.0,False,15.6,1920,1080,144.0,49971.0,,,14411.0,,14411.0,23336.0
865,Asus TUF Gaming A15 (2023) FA507NUR-LP034Zi728,Asus,Oyun,NVIDIA GeForce RTX 4050 140W,AMD Ryzen 7 7435HS,32.0,False,15.6,1920,1080,144.0,49971.0,,,14411.0,,14411.0,23336.0
866,Lenovo ThinkBook 14 G4 IML 21MX002VTRH09,Lenovo,İş/Mobil,Intel Graphics,Intel Core Ultra 7 155U,32.0,False,14.0,1920,1200,60.0,52498.95,,2161.5,,,2161.5,16331.0
867,Asus TUF Gaming A15 (2023) FA507NV-LP103 ZI730,Asus,Oyun,NVIDIA GeForce RTX 4060 140W,AMD Ryzen 5 7535HS,48.0,False,15.6,1920,1080,144.0,54933.04,,,17452.0,,17452.0,17910.0
868,Asus TUF Gaming A15 (2023) FA507NV-LP105 Zi718,Asus,Oyun,NVIDIA GeForce RTX 4060 140W,AMD Ryzen 5 7535HS,48.0,False,15.6,1920,1080,144.0,54933.04,,,17452.0,,17452.0,17910.0
869,Lenovo IdeaPad Gaming 3 82K202BRTX (40GB/4TBSSD/W11H),Lenovo,Oyun,NVIDIA GeForce RTX 2050,AMD Ryzen 5 5500H,40.0,False,15.6,1920,1080,144.0,43912.05,,7754.0,,,7754.0,11514.0
870,Lenovo Thinkpad E16 G2 21MA003MTX Zi721,Lenovo,İş/Mobil,Intel Graphics,Intel Core Ultra 5 125U,64.0,False,16.0,1920,1200,60.0,43895.41,,2161.5,,,2161.5,17366.0
871,Lenovo Thinkpad E16 G2 21MA003MTX Zi733,Lenovo,İş/Mobil,Intel Graphics,Intel Core Ultra 5 125U,64.0,False,16.0,1920,1200,60.0,43895.41,,2161.5,,,2161.5,17366.0
872,Asus Zenbook DUO OLED UX8406MA-PZ051W,Asus,İş/Mobil,Intel Arc Graphics,Intel Core Ultra 9 185H,32.0,False,14.0,2880,1800,120.0,135000.0,,5506.0,,,5506.0,29394.0
873,Lenovo LOQ 15IAX9 83GS00PPTR,Lenovo,Oyun,NVIDIA GeForce RTX 4060,Intel Core i5-12450HX,24.0,False,15.6,1920,1080,144.0,39999.0,,19544.0,,,19544.0,18228.0
874,Monster Tulpar T7 V26.2.4,Monster,Oyun,NVIDIA GeForce RTX 5060 115W,Intel Core i7-13620H,16.0,False,17.3,1920,1080,144.0,63182.7,,,18049.0,,18049.0,24148.0
875,MSI Katana 17 B13VFK-1037XTR,MSI,Oyun,NVIDIA GeForce RTX 4060 105W,Intel Core i7-13620H,16.0,False,17.3,1920,1080,144.0,54999.32,,,17452.0,,17452.0,24148.0
876,HP Victus Gaming 15-fb2007nt (A1ZH1EA),HP,Oyun,NVIDIA GeForce RTX 4060,AMD Ryzen 5 8645HS,16.0,False,15.6,1920,1080,144.0,39999.0,,19544.0,,,19544.0,22433.0
877,Asus TUF Gaming A15 (2023) FA507NV-LP105 ZI710,Asus,Oyun,NVIDIA GeForce RTX 4060 140W,AMD Ryzen 5 7535HS,64.0,False,15.6,1920,1080,144.0,57627.7,,,17452.0,,17452.0,17910.0
878,Asus TUF Gaming A15 (2023) FA507NV-LP103 Zi710,Asus,Oyun,NVIDIA GeForce RTX 4060 140W,AMD Ryzen 5 7535HS,64.0,False,15.6,1920,1080,144.0,57627.7,,,17452.0,,17452.0,17910.0
879,Lenovo ThinkPad E14 G6 21M70031TX ZI731,Lenovo,İş/Mobil,Intel Arc Graphics,Intel Core Ultra 7 155H,48.0,False,14.0,1920,1200,60.0,53555.52,,5506.0,,,5506.0,24826.0
880,Lenovo ThinkPad E14 G6 21M70031TX ZI719,Lenovo,İş/Mobil,Intel Arc Graphics,Intel Core Ultra 7 155H,48.0,False,14.0,1920,1200,60.0,53555.52,,5506.0,,,5506.0,24826.0
881,Lenovo LOQ 15IAX9 83GS007XTR03,Lenovo,Oyun,NVIDIA GeForce RTX 4060 105W,Intel Core i5-12450HX,16.0,False,15.6,1920,1080,144.0,46999.0,,,17452.0,,17452.0,18228.0
882,Casper Excalibur G870.1362-DV70X-C,Casper,Oyun,NVIDIA GeForce RTX 5070,Intel Core i7-13620H,32.0,False,15.6,1920,1080,60.0,81013.43,,29031.0,,,29031.0,24148.0
883,MSI Cyborg 15 A13VE-1478XTRP357,MSI,Oyun,NVIDIA GeForce RTX 4050 45W,Intel Core i5-13420H,32.0,False,15.6,1920,1080,144.0,44735.04,,,14411.0,,14411.0,17402.0
884,Lenovo ThinkBook 14 G6 IRL 21KG004NTR ZI709,Lenovo,İş/Mobil,Intel Iris Xe Graphics,Intel Core i7-13700H,64.0,False,14.0,1920,1200,60.0,43442.88,,2641.0,,,2641.0,26358.0
885,HP Victus Gaming 16-s0018nt (7Z4M8EA)(40GB/256SSD/W11P),HP,Oyun,NVIDIA GeForce RTX 4060,AMD Ryzen 5 7640HS,40.0,False,16.1,1920,1080,144.0,49069.86,,19544.0,,,19544.0,22926.0
886,HP Victus Gaming 16-s0018nt (7Z4M8EA)(40GB/256SSD/W11H),HP,Oyun,NVIDIA GeForce RTX 4060,AMD Ryzen 5 7640HS,40.0,False,16.1,1920,1080,144.0,47320.92,,19544.0,,,19544.0,22926.0
887,"Apple MacBook Pro 14.2"" M4 (10CPU/10GPU)",Apple,İş/Mobil,Apple M4 (10 Çekirdek GPU),Apple M4 (10CPU/10GPU),16.0,False,14.2,3024,1964,120.0,64999.0,,,,,,32932.0
888,"Apple MacBook Pro 14.2"" M4 (10CPU/10GPU)",Apple,İş/Mobil,Apple M4 (10 Çekirdek GPU),Apple M4 (10CPU/10GPU),16.0,False,14.2,3024,1964,120.0,63649.0,,,,,,32932.0
889,Lenovo LOQ 15IRX9 83DV00AFTR (32GB/2TBSSD/W11H),Lenovo,Oyun,NVIDIA GeForce RTX 3050 95W,Intel Core i7-13650HX,32.0,False,15.6,1920,1080,144.0,65424.37,,,10171.0,,10171.0,30673.0
890,Lenovo ThinkPad E14 G6 21M7002PTX Zi732,Lenovo,İş/Mobil,Intel Graphics,Intel Core Ultra 5 125U,48.0,False,14.0,1920,1200,60.0,45345.6,,2161.5,,,2161.5,17366.0
891,Lenovo ThinkPad E14 G6 21M7002PTX Zi720,Lenovo,İş/Mobil,Intel Graphics,Intel Core Ultra 5 125U,48.0,False,14.0,1920,1200,60.0,45345.6,,2161.5,,,2161.5,17366.0
892,Casper Excalibur G870.1342-DF50X-C,Casper,Oyun,NVIDIA GeForce RTX 5050,Intel Core i5-13420H,32.0,False,15.6,1920,1080,165.0,46462.03,,17605.0,,,17605.0,17402.0
893,HP Victus Gaming 16-r0044nt (7P645EA),HP,Oyun,NVIDIA GeForce RTX 4060,Intel Core i5-13500H,16.0,False,16.1,1920,1080,144.0,42239.04,,19544.0,,,19544.0,21327.0
894,HP Victus Gaming 16-s0035nt (7Z5Z2EA),HP,Oyun,NVIDIA GeForce RTX 4060,AMD Ryzen 5 7640HS,16.0,False,16.1,1920,1080,144.0,36899.0,,19544.0,,,19544.0,22926.0
895,Dell G15 Gaming 5530 G155530013 (24GB/4TBSSD/DOS),Dell,Oyun,NVIDIA GeForce RTX 4060,Intel Core i7-13650HX,24.0,False,15.6,1920,1080,60.0,67998.94,,19544.0,,,19544.0,30673.0
896,Lenovo LOQ 15IRH8 83GS0099TRP368,Lenovo,Oyun,NVIDIA GeForce RTX 3050 95W,Intel Core i5-12450H,48.0,False,15.6,1920,1080,144.0,38117.34,,,10171.0,,10171.0,16232.0
897,Lenovo ThinkPad E14 G6 21M8S0LRTX Zi709,Lenovo,İş/Mobil,Intel Graphics,Intel Core Ultra 7 155U,64.0,False,14.0,1920,1200,60.0,47520.0,,2161.5,,,2161.5,16331.0
898,Monster Abra A5 V22.1.4,Monster,Oyun,NVIDIA GeForce RTX 5050,Intel Core i7-13620H,16.0,False,15.6,1920,1080,144.0,51427.59,,17605.0,,,17605.0,24148.0
899,MSI Cyborg 15 A13VE-1478XTRP353,MSI,Oyun,NVIDIA GeForce RTX 4050 45W,Intel Core i5-13420H,24.0,False,15.6,1920,1080,144.0,45404.02,,,14411.0,,14411.0,17402.0
900,Lenovo ThinkBook 16 G6 ABP 21KK000WTR ZI723,Lenovo,İş/Mobil,AMD Radeon Graphics,AMD Ryzen 7 7730U,64.0,False,16.0,1920,1200,60.0,51508.71,,2161.5,,,2161.5,18003.0
901,Lenovo ThinkBook 16 G6 ABP 21KK000WTR ZI735,Lenovo,İş/Mobil,AMD Radeon Graphics,AMD Ryzen 7 7730U,64.0,False,16.0,1920,1200,60.0,49639.44,,2161.5,,,2161.5,18003.0
902,Casper Nirvana S200.1342-EX00A-G-F,Casper,İş/Mobil,13.Nesil İşlemciler İçin Intel UHD Grafik,Intel Core i5-13420H,64.0,False,16.0,1920,1080,60.0,40157.03,,,,1053.0,1053.0,17402.0
903,HP Victus Gaming 15-fa1018nt (7N9U6EA),HP,Oyun,NVIDIA GeForce RTX 4050,Intel Core i7-13700H,16.0,False,15.6,1920,1080,144.0,44969.2,,,14411.0,,14411.0,26358.0
904,HP Victus Gaming 16-s0024nt (7Z590EA),HP,Oyun,NVIDIA GeForce RTX 4060,AMD Ryzen 5 7640HS,16.0,False,16.1,1920,1080,144.0,39999.0,,19544.0,,,19544.0,22926.0
905,Lenovo Thinkpad E16 G2 21MA002UTXP17,Lenovo,İş/Mobil,Intel Arc Graphics,Intel Core Ultra 7 155H,48.0,False,16.0,1920,1200,60.0,49781.8,,5506.0,,,5506.0,24826.0
906,Lenovo Thinkpad E16 G2 21MA002UTX Zi718,Lenovo,İş/Mobil,Intel Arc Graphics,Intel Core Ultra 7 155H,48.0,False,16.0,1920,1200,60.0,50801.28,,5506.0,,,5506.0,24826.0
907,Lenovo Thinkpad E16 G2 21MA002UTXH17,Lenovo,İş/Mobil,Intel Arc Graphics,Intel Core Ultra 7 155H,48.0,False,16.0,1920,1200,60.0,50801.28,,5506.0,,,5506.0,24826.0
908,Monster Abra A7 V15.3.5,Monster,Oyun,NVIDIA GeForce RTX 3050 75W,Intel Core i5-13500H,32.0,False,17.3,1920,1080,144.0,40064.33,,,10171.0,,10171.0,21327.0
909,Casper Nirvana S200.1362-EX00X-G-F,Casper,İş/Mobil,13.Nesil İşlemciler İçin Intel UHD Grafik,Intel Core i7-13620H,64.0,False,16.0,1920,1080,60.0,38023.03,,,,1053.0,1053.0,24148.0
910,Acer Nitro 16 AN16-42-R5NM,Acer,Oyun,NVIDIA GeForce RTX 4070 140W,AMD Ryzen 7 8845HS,32.0,False,16.0,2560,1600,165.0,72499.0,,,19576.0,,19576.0,28471.0
911,Asus TUF Gaming A15 (2023) FA507NUR-LP034Zi714,Asus,Oyun,NVIDIA GeForce RTX 4050 140W,AMD Ryzen 7 7435HS,16.0,False,15.6,1920,1080,144.0,49475.0,,,14411.0,,14411.0,23336.0
912,Asus TUF Gaming A15 (2023) FA507NUR-LP034 (16GB/2TBSSD/W11H),Asus,Oyun,NVIDIA GeForce RTX 4050 140W,AMD Ryzen 7 7435HS,16.0,False,15.6,1920,1080,144.0,49475.0,,,14411.0,,14411.0,23336.0
913,Lenovo ThinkPad P1 (G4) 20Y3001LTX,Lenovo,İş/Mobil,NVIDIA T1200,Intel Core i7-11850H,16.0,False,16.0,2560,1600,60.0,160491.84,,,,,,20693.5
914,Lenovo IdeaPad Gaming 3 82K202BRTXH09,Lenovo,Oyun,NVIDIA GeForce RTX 2050,AMD Ryzen 5 5500H,64.0,False,15.6,1920,1080,144.0,43025.97,,7754.0,,,7754.0,11514.0
915,Lenovo ThinkBook 14 G6 IRL 21KG004NTR Zi716,Lenovo,İş/Mobil,Intel Iris Xe Graphics,Intel Core i7-13700H,32.0,False,14.0,1920,1200,60.0,41758.08,,2641.0,,,2641.0,26358.0
916,MSI Katana 15 B13VGK-1874XTR,MSI,Oyun,NVIDIA GeForce RTX 4070 105W,Intel Core i7-13620H,16.0,False,15.6,1920,1080,144.0,60799.0,,,19576.0,,19576.0,24148.0
917,Lenovo Yoga Slim 7 83HM003PTR,Lenovo,İş/Mobil,Intel® Arc™ Graphics 140V,Intel Core Ultra 7 256V,16.0,True,15.3,2880,1800,120.0,66499.05,,,,,,19861.0
918,Lenovo Thinkpad E16 G2 21MA008XTX 005,Lenovo,İş/Mobil,Intel Arc Graphics,Intel Core Ultra 7 155H,64.0,False,16.0,1920,1200,60.0,44769.81,,5506.0,,,5506.0,24826.0
919,Lenovo Thinkpad E16 G2 21MA002UTX 010,Lenovo,İş/Mobil,Intel Arc Graphics,Intel Core Ultra 7 155H,24.0,False,16.0,1920,1200,60.0,58966.24,,5506.0,,,5506.0,24826.0
920,Lenovo Thinkpad E16 G2 21MA002UTX 026,Lenovo,İş/Mobil,Intel Arc Graphics,Intel Core Ultra 7 155H,64.0,False,16.0,1920,1200,60.0,57312.0,,5506.0,,,5506.0,24826.0
921,MSI Thin 15 B12VE-1892XTRP372,MSI,Oyun,NVIDIA GeForce RTX 4050 45W,Intel Core i7-12650H,24.0,False,15.6,1920,1080,144.0,49544.56,,,14411.0,,14411.0,21884.0
922,Lenovo Thinkpad E16 G2 21MA002UTX ZI710,Lenovo,İş/Mobil,Intel Arc Graphics,Intel Core Ultra 7 155H,64.0,False,16.0,1920,1200,60.0,52062.85,,5506.0,,,5506.0,24826.0
923,Monster Tulpar T7 V20.7.2,Monster,Oyun,NVIDIA GeForce RTX 4060 140W,Intel Core i7-12650H,32.0,False,17.3,1920,1080,144.0,75973.08,,,17452.0,,17452.0,21884.0
924,HP Victus Gaming 16-s1026nt (9Z796EA05),HP,Oyun,NVIDIA GeForce RTX 4050,AMD Ryzen 7 8845HS,32.0,False,16.1,1920,1080,144.0,62415.98,,,14411.0,,14411.0,28471.0
925,Lenovo LOQ 15IAX9 83GS009ATR,Lenovo,Oyun,NVIDIA GeForce RTX 4050 105W,Intel Core i5-12450HX,24.0,False,15.6,1920,1080,144.0,37439.04,,,14411.0,,14411.0,18228.0
926,Monster Abra A5 V20.7.4,Monster,Oyun,NVIDIA GeForce RTX 4050 140W,Intel Core i7-13620H,16.0,False,15.6,1920,1080,165.0,47499.0,,,14411.0,,14411.0,24148.0
927,Lenovo LOQ 15ARP9 83JC00FJTR,Lenovo,Oyun,NVIDIA GeForce RTX 4060 105W,AMD Ryzen 7 7435HS,12.0,False,15.6,1920,1080,144.0,37999.0,,,17452.0,,17452.0,23336.0
928,Lenovo ThinkPad E14 G6 21M70031TX Zi717,Lenovo,İş/Mobil,Intel Arc Graphics,Intel Core Ultra 7 155H,32.0,False,14.0,1920,1200,60.0,53278.08,,5506.0,,,5506.0,24826.0
929,Lenovo ThinkPad E14 G6 21M70031TX Zi729,Lenovo,İş/Mobil,Intel Arc Graphics,Intel Core Ultra 7 155H,32.0,False,14.0,1920,1200,60.0,53278.08,,5506.0,,,5506.0,24826.0
930,Asus TUF Gaming A15 (2023) FA507NV-LP105 ZI708,Asus,Oyun,NVIDIA GeForce RTX 4060 140W,AMD Ryzen 5 7535HS,48.0,False,15.6,1920,1080,144.0,57088.38,,,17452.0,,17452.0,17910.0
931,Asus TUF Gaming A15 (2023) FA507NV-LP103 Zi708,Asus,Oyun,NVIDIA GeForce RTX 4060 140W,AMD Ryzen 5 7535HS,48.0,False,15.6,1920,1080,144.0,57088.38,,,17452.0,,17452.0,17910.0
932,Asus TUF Gaming F15 FX507ZI4-LP031W,Asus,Oyun,NVIDIA GeForce RTX 4070,Intel Core i7-12700H,16.0,False,15.6,1920,1080,144.0,56639.04,,26926.0,,,26926.0,25565.0
933,Lenovo Thinkpad E16 G2 21MA003MTX Zi711,Lenovo,İş/Mobil,Intel Graphics,Intel Core Ultra 5 125U,64.0,False,16.0,1920,1200,60.0,46366.0,,2161.5,,,2161.5,17366.0
