,name,Marka,GENEL BİLGİLER - Ürün Amacı,GPU Modeli,CPU Modeli,RAM Boyutu,Dokunmatik Ekran,Ekran Boyutu,Çözünürlük X,Çözünürlük Y,Yenileme Hz,price,G3D_L1,G3D_L2,G3D_L3,G3D_L4,GPU_PassMark_G3D,CPU_PassMark
725,HP Victus Gaming 16-s1026nt (9Z796EAW03),HP,Oyun,NVIDIA GeForce RTX 4050,AMD Ryzen 7 8845HS,24.0,False,16.1,1920,1080,144.0,63700.7,,,14411.0,,14411.0,28471.0
726,HP Victus Gaming 16-s1026nt (9Z796EAH02),HP,Oyun,NVIDIA GeForce RTX 4050,AMD Ryzen 7 8845HS,24.0,False,16.1,1920,1080,144.0,62415.98,,,14411.0,,14411.0,28471.0
727,Casper Excalibur G870.1342-DX50X-C,Casper,Oyun,NVIDIA GeForce RTX 5050,Intel Core i5-13420H,32.0,False,15.6,1920,1080,165.0,49566.03,,17605.0,,,17605.0,17402.0
728,Asus TUF Gaming A15 (2023) FA507NVRA20-LP004A20,Asus,Oyun,NVIDIA GeForce RTX 4060 140W,AMD Ryzen 7 7435HS,64.0,False,15.6,1920,1080,144.0,60999.0,,,17452.0,,17452.0,23336.0
729,Lenovo LOQ 15IRH8 83GS009CTR,Lenovo,Oyun,NVIDIA GeForce RTX 4050 95W,Intel Core i5-12450H,24.0,False,15.6,1920,1080,144.0,38959.0,,,14411.0,,14411.0,16232.0
730,Dell G15 Gaming 5530 G155530012U Zi709,Dell,Oyun,NVIDIA GeForce RTX 4060,Intel Core i7-13650HX,64.0,False,15.6,1920,1080,60.0,70131.25,,19544.0,,,19544.0,30673.0
731,Lenovo LOQ 15IAX9 83GS007WTR06,Lenovo,Oyun,NVIDIA GeForce RTX 4050 105W,Intel Core i5-12450HX,32.0,False,15.6,1920,1080,144.0,43696.56,,,14411.0,,14411.0,18228.0
732,HP Victus Gaming 15-fb2028nt (A44MJEA-39),HP,Oyun,AMD Radeon RX 6550M,AMD Ryzen 5 7535HS,64.0,False,15.6,1920,1080,144.0,67899.03,,9717.0,,,9717.0,17910.0
733,Acer Nitro 16 AN16-42,Acer,Oyun,NVIDIA GeForce RTX 4060 140W,AMD Ryzen 7 8845HS,32.0,False,16.0,2560,1600,165.0,75843.58,,,17452.0,,17452.0,28471.0
734,Lenovo ThinkBook 14 G4 IML 21MX002VTRA50,Lenovo,İş/Mobil,Intel Graphics,Intel Core Ultra 7 155U,32.0,False,14.0,1920,1200,60.0,52498.95,,2161.5,,,2161.5,16331.0
735,Dell Latitude 3550 N010L355015U 017,Dell,Genel Kullanım,Intel Iris Xe Graphics Eligible,Intel Core i7-1355U,64.0,False,15.6,1920,1080,60.0,62102.4,,,,1971.0,1971.0,14252.0
736,Lenovo ThinkBook 14 G4 IML 21MX002VTRA47,Lenovo,İş/Mobil,Intel Graphics,Intel Core Ultra 7 155U,32.0,False,14.0,1920,1200,60.0,52498.95,,2161.5,,,2161.5,16331.0
737,Lenovo LOQ 15IAX9 83GS007WTRA10,Lenovo,Oyun,NVIDIA GeForce RTX 4050 105W,Intel Core i5-12450HX,8.0,False,15.6,1920,1080,144.0,41232.0,,,14411.0,,14411.0,18228.0
738,Lenovo ThinkBook 14 G6 IRL 21KG004NTR ZI717,Lenovo,İş/Mobil,Intel Iris Xe Graphics,Intel Core i7-13700H,32.0,False,14.0,1920,1200,60.0,44203.2,,2641.0,,,2641.0,26358.0
